risk_score,clv_eur,expected_value_eur,is_churn,tenure_band,active_days_30d,days_since_last_play
0.1671,4.8805,0.8158,0,05 2+ years,30,1.0
0.2568,4.8805,1.2533,0,05 2+ years,30,1.0
0.2526,4.8805,1.2327,0,02 3-6 months,29,1.0
0.615,4.8805,3.0013,1,05 2+ years,10,1.0
0.3553,4.8805,1.734,0,04 1-2 years,11,2.0
0.4155,4.8805,2.0279,0,05 2+ years,21,1.0
0.1986,4.8805,0.9694,0,03 6-12 months,25,1.0
0.3025,4.8805,1.4762,0,05 2+ years,6,12.0
0.1831,4.8805,0.8938,0,04 1-2 years,16,1.0
0.9708,4.8805,4.7378,1,99 unknown,0,
0.178,4.8805,0.8689,0,03 6-12 months,27,1.0
0.3277,4.8805,1.5993,0,05 2+ years,24,2.0
0.8659,16.6348,14.4041,1,05 2+ years,28,2.0
0.2669,4.8805,1.3028,1,03 6-12 months,19,3.0
0.1342,4.8805,0.6552,0,05 2+ years,24,4.0
0.2522,4.8805,1.231,0,05 2+ years,18,4.0
0.3239,4.8805,1.581,0,05 2+ years,25,3.0
0.8939,16.6348,14.8693,1,04 1-2 years,4,12.0
0.9391,3.5253,3.3104,1,99 unknown,0,
0.2577,4.8805,1.2579,0,04 1-2 years,23,1.0
0.9627,7.4219,7.1454,1,05 2+ years,17,3.0
0.4835,4.8805,2.3599,0,04 1-2 years,9,1.0
0.2761,4.8805,1.3477,1,05 2+ years,26,1.0
0.5506,4.8805,2.6872,0,02 3-6 months,24,1.0
0.1987,4.8805,0.9696,0,03 6-12 months,15,4.0
0.23,4.8805,1.1226,0,02 3-6 months,28,1.0
0.8832,16.6348,14.6916,1,04 1-2 years,20,2.0
0.9708,4.8805,4.7378,1,99 unknown,0,
0.2817,4.8805,1.375,1,05 2+ years,28,1.0
0.3933,4.8805,1.9196,0,01 0-3 months,28,1.0
0.8761,16.6348,14.5741,1,04 1-2 years,21,1.0
0.1427,4.8805,0.6963,0,05 2+ years,28,1.0
0.8954,16.6348,14.8951,1,04 1-2 years,16,1.0
0.2936,4.8805,1.433,0,05 2+ years,13,2.0
0.2496,4.8805,1.2181,0,05 2+ years,11,4.0
0.1501,4.8805,0.7328,0,05 2+ years,28,1.0
0.3824,4.8805,1.8662,1,01 0-3 months,12,2.0
0.9357,7.4219,6.9444,1,03 6-12 months,6,11.0
0.377,4.8805,1.84,0,05 2+ years,29,1.0
0.1836,4.8805,0.8962,0,05 2+ years,20,1.0
0.8894,16.6348,14.7952,1,05 2+ years,27,1.0
0.2132,4.8805,1.0406,0,02 3-6 months,24,1.0
0.2728,4.8805,1.3312,0,04 1-2 years,26,1.0
0.2475,4.8805,1.2082,1,04 1-2 years,5,1.0
0.2354,4.8805,1.149,0,02 3-6 months,25,1.0
0.3414,4.8805,1.666,0,05 2+ years,14,1.0
0.167,4.8805,0.8148,0,05 2+ years,30,1.0
0.5906,4.8805,2.8823,0,05 2+ years,13,9.0
0.209,4.8805,1.0199,0,02 3-6 months,22,2.0
0.2253,4.8805,1.0995,0,05 2+ years,24,1.0
0.8235,16.6348,13.6981,1,05 2+ years,6,2.0
0.1766,4.8805,0.8621,0,05 2+ years,28,1.0
0.2441,4.8805,1.1912,0,05 2+ years,20,1.0
0.5333,4.8805,2.6026,0,05 2+ years,12,3.0
0.1818,4.8805,0.8875,0,04 1-2 years,26,1.0
0.3122,4.8805,1.5237,0,04 1-2 years,12,11.0
0.8545,7.4219,6.3422,1,05 2+ years,29,1.0
0.9712,16.6348,16.1561,1,05 2+ years,0,
0.2368,4.8805,1.1559,0,02 3-6 months,25,1.0
0.8548,7.4219,6.3442,1,05 2+ years,30,1.0
0.169,4.8805,0.825,0,04 1-2 years,23,2.0
0.2411,4.8805,1.1767,0,05 2+ years,27,1.0
0.2081,4.8805,1.0158,1,05 2+ years,16,5.0
0.1574,4.8805,0.7683,0,03 6-12 months,27,1.0
0.9229,16.6348,15.3522,1,05 2+ years,19,5.0
0.2785,4.8805,1.3593,0,05 2+ years,21,1.0
0.2349,4.8805,1.1463,0,05 2+ years,8,1.0
0.8638,3.5253,3.0451,1,02 3-6 months,19,1.0
0.1559,4.8805,0.7611,0,03 6-12 months,27,1.0
0.2152,4.8805,1.0502,1,02 3-6 months,25,1.0
0.1279,4.8805,0.624,0,04 1-2 years,28,1.0
0.4348,4.8805,2.1223,0,05 2+ years,14,1.0
0.1898,4.8805,0.9263,0,03 6-12 months,18,4.0
0.1812,4.8805,0.8846,1,04 1-2 years,19,1.0
0.5519,4.8805,2.6935,1,05 2+ years,19,2.0
0.8576,4.8805,4.1854,1,02 3-6 months,2,29.0
0.1805,4.8805,0.8809,1,05 2+ years,25,1.0
0.4877,4.8805,2.3802,0,05 2+ years,21,2.0
0.1664,4.8805,0.8122,0,03 6-12 months,28,1.0
0.3706,4.8805,1.8088,1,05 2+ years,18,2.0
0.278,4.8805,1.3566,0,05 2+ years,4,6.0
0.9559,7.4219,7.0945,1,05 2+ years,21,1.0
0.1827,4.8805,0.8915,1,04 1-2 years,26,1.0
0.16,4.8805,0.7809,0,04 1-2 years,21,1.0
0.1504,4.8805,0.7341,0,05 2+ years,25,1.0
0.1576,4.8805,0.7693,0,05 2+ years,29,1.0
0.8474,7.4219,6.2892,1,03 6-12 months,19,1.0
0.4217,4.8805,2.058,0,05 2+ years,20,1.0
0.2473,4.8805,1.207,0,04 1-2 years,10,3.0
0.4784,4.8805,2.3347,0,04 1-2 years,19,3.0
0.6627,7.4219,4.9188,1,05 2+ years,29,1.0
0.6366,3.5253,2.2442,0,05 2+ years,7,1.0
0.3722,4.8805,1.8166,0,05 2+ years,12,4.0
0.3406,4.8805,1.6625,0,04 1-2 years,20,1.0
0.1883,4.8805,0.9188,1,05 2+ years,16,1.0
0.4645,4.8805,2.2671,0,05 2+ years,15,1.0
0.1754,4.8805,0.856,0,05 2+ years,23,1.0
0.4941,4.8805,2.4112,1,02 3-6 months,21,1.0
0.1579,4.8805,0.7707,0,04 1-2 years,30,1.0
0.8544,16.6348,14.2124,1,04 1-2 years,30,1.0
0.2702,4.8805,1.3189,0,03 6-12 months,27,1.0
0.8958,7.4219,6.6488,1,04 1-2 years,15,9.0
0.7689,7.4219,5.7067,1,02 3-6 months,18,3.0
0.8373,16.6348,13.9283,0,05 2+ years,27,1.0
0.1575,4.8805,0.7687,0,05 2+ years,30,1.0
0.5934,7.4219,4.4042,0,05 2+ years,22,3.0
0.8073,4.8805,3.9402,1,02 3-6 months,12,10.0
0.3786,4.8805,1.8478,1,05 2+ years,19,6.0
0.1866,4.8805,0.9105,0,03 6-12 months,16,4.0
0.247,4.8805,1.2053,0,05 2+ years,26,1.0
0.6495,3.5253,2.2898,1,05 2+ years,14,1.0
0.1791,4.8805,0.8743,0,04 1-2 years,30,1.0
0.2175,4.8805,1.0613,0,01 0-3 months,28,1.0
0.3154,4.8805,1.5394,0,05 2+ years,20,1.0
0.9463,3.5253,3.3359,1,02 3-6 months,1,15.0
0.5002,4.8805,2.4414,1,01 0-3 months,23,1.0
0.2697,4.8805,1.3163,0,01 0-3 months,29,1.0
0.8043,16.6348,13.3799,1,04 1-2 years,21,1.0
0.9672,16.6348,16.0886,1,05 2+ years,0,
0.1407,4.8805,0.6866,0,05 2+ years,30,1.0
0.9517,7.4219,7.0632,1,05 2+ years,17,2.0
0.3334,4.8805,1.6274,1,04 1-2 years,13,6.0
0.788,3.5253,2.7778,1,05 2+ years,25,1.0
0.5146,3.5253,1.814,1,04 1-2 years,27,1.0
0.9708,4.8805,4.7378,1,99 unknown,0,
0.7951,7.4219,5.9009,1,05 2+ years,25,1.0
0.2588,4.8805,1.2631,0,05 2+ years,23,1.0
0.7527,4.8805,3.6738,1,02 3-6 months,2,29.0
0.822,4.8805,4.0116,1,05 2+ years,6,12.0
0.8874,7.4219,6.5865,1,04 1-2 years,20,1.0
0.8464,7.4219,6.2819,1,03 6-12 months,25,1.0
0.2749,4.8805,1.3415,1,05 2+ years,28,1.0
0.7383,16.6348,12.2822,1,05 2+ years,15,2.0
0.5286,4.8805,2.5797,0,05 2+ years,11,3.0
0.1904,4.8805,0.929,0,03 6-12 months,30,1.0
0.2054,4.8805,1.0024,0,04 1-2 years,30,1.0
0.205,4.8805,1.0004,0,02 3-6 months,30,1.0
0.1473,4.8805,0.7187,1,04 1-2 years,29,1.0
0.2822,4.8805,1.3774,1,05 2+ years,23,1.0
0.1532,4.8805,0.7478,0,05 2+ years,28,1.0
0.4583,4.8805,2.2369,0,04 1-2 years,28,2.0
0.5339,4.8805,2.6059,1,05 2+ years,3,27.0
0.7479,7.4219,5.5512,1,04 1-2 years,25,1.0
0.4319,4.8805,2.1079,1,03 6-12 months,6,2.0
0.7581,16.6348,12.6112,1,04 1-2 years,26,1.0
0.46,4.8805,2.2449,1,05 2+ years,23,2.0
0.9558,16.6348,15.9002,1,01 0-3 months,6,1.0
0.8863,7.4219,6.5783,1,05 2+ years,25,1.0
0.3256,4.8805,1.5891,1,05 2+ years,17,1.0
0.3477,4.8805,1.6969,1,04 1-2 years,29,1.0
0.4946,4.8805,2.4141,1,03 6-12 months,27,1.0
0.8671,16.6348,14.4247,1,05 2+ years,22,2.0
0.2615,4.8805,1.2762,0,04 1-2 years,30,1.0
0.4849,4.8805,2.3667,0,04 1-2 years,6,10.0
0.6712,4.8805,3.276,1,01 0-3 months,11,5.0
0.4951,4.8805,2.4162,0,04 1-2 years,16,2.0
0.1926,4.8805,0.9399,0,05 2+ years,23,2.0
0.121,4.8805,0.5906,0,05 2+ years,27,1.0
0.2736,4.8805,1.3354,0,05 2+ years,18,1.0
0.2975,4.8805,1.4517,0,04 1-2 years,21,1.0
0.2603,4.8805,1.2705,0,02 3-6 months,29,1.0
0.2118,4.8805,1.0336,0,05 2+ years,20,2.0
0.5385,4.8805,2.6281,0,03 6-12 months,5,15.0
0.2724,4.8805,1.3295,0,05 2+ years,30,1.0
0.2582,4.8805,1.2601,0,04 1-2 years,26,1.0
0.9211,7.4219,6.8365,0,05 2+ years,7,2.0
0.3976,4.8805,1.9407,1,05 2+ years,11,4.0
0.156,4.8805,0.7615,0,04 1-2 years,28,1.0
0.8886,4.8805,4.3367,1,04 1-2 years,1,30.0
0.5999,4.8805,2.9277,1,04 1-2 years,10,1.0
0.1585,4.8805,0.7737,0,04 1-2 years,30,1.0
0.778,16.6348,12.9418,1,05 2+ years,27,1.0
0.3643,4.8805,1.778,0,05 2+ years,8,2.0
0.8766,7.4219,6.5063,1,05 2+ years,18,4.0
0.1762,4.8805,0.8598,0,04 1-2 years,25,1.0
0.8256,16.6348,13.7337,1,05 2+ years,29,1.0
0.1832,4.8805,0.8943,0,05 2+ years,24,1.0
0.2098,4.8805,1.0239,1,05 2+ years,23,1.0
0.1498,4.8805,0.7309,0,05 2+ years,30,1.0
0.6886,3.5253,2.4274,1,04 1-2 years,27,1.0
0.1358,4.8805,0.6626,0,05 2+ years,28,1.0
0.1707,4.8805,0.8329,0,05 2+ years,29,1.0
0.1616,4.8805,0.7887,1,05 2+ years,23,1.0
0.2204,4.8805,1.0754,0,05 2+ years,11,1.0
0.5957,4.8805,2.9073,1,05 2+ years,17,3.0
0.1317,4.8805,0.6427,0,05 2+ years,30,1.0
0.471,4.8805,2.2989,0,04 1-2 years,27,1.0
0.6746,4.8805,3.2925,0,01 0-3 months,9,5.0
0.1931,4.8805,0.9423,0,01 0-3 months,26,1.0
0.1808,4.8805,0.8822,1,04 1-2 years,24,1.0
0.9708,4.8805,4.7378,1,99 unknown,0,
0.2308,4.8805,1.1263,0,04 1-2 years,27,1.0
0.4967,7.4219,3.6867,1,05 2+ years,30,1.0
0.6136,3.5253,2.1631,1,01 0-3 months,25,1.0
0.8783,16.6348,14.6102,1,05 2+ years,29,1.0
0.1623,4.8805,0.7921,0,05 2+ years,26,1.0
0.1675,4.8805,0.8173,1,04 1-2 years,24,2.0
0.7869,3.5253,2.774,1,05 2+ years,14,5.0
0.2513,4.8805,1.2263,0,04 1-2 years,19,4.0
0.19,4.8805,0.9273,0,03 6-12 months,28,1.0
0.1527,4.8805,0.7451,0,05 2+ years,28,1.0
0.5332,4.8805,2.6025,0,01 0-3 months,29,1.0
0.556,7.4219,4.1267,0,05 2+ years,30,1.0
0.5434,4.8805,2.6523,1,02 3-6 months,22,2.0
0.4722,4.8805,2.3044,0,05 2+ years,14,2.0
0.4234,4.8805,2.0665,0,04 1-2 years,30,1.0
0.206,4.8805,1.0056,1,05 2+ years,29,1.0
0.627,4.8805,3.0599,0,05 2+ years,11,1.0
0.8155,3.5253,2.8749,1,05 2+ years,29,1.0
0.2002,4.8805,0.9769,0,03 6-12 months,23,1.0
0.1252,4.8805,0.6113,0,05 2+ years,30,1.0
0.855,7.4219,6.3458,1,04 1-2 years,27,1.0
0.748,7.4219,5.5518,1,05 2+ years,27,1.0
0.185,4.8805,0.9031,0,05 2+ years,29,1.0
0.2528,4.8805,1.2339,0,03 6-12 months,19,1.0
0.8341,16.6348,13.8752,0,05 2+ years,30,1.0
0.2,4.8805,0.9761,0,05 2+ years,25,1.0
0.3671,4.8805,1.7914,0,01 0-3 months,16,1.0
0.4305,4.8805,2.1012,1,05 2+ years,4,4.0
0.5483,4.8805,2.676,1,05 2+ years,7,11.0
0.2319,4.8805,1.1319,0,05 2+ years,17,3.0
0.3351,4.8805,1.6356,0,05 2+ years,16,1.0
0.602,4.8805,2.9378,0,05 2+ years,22,1.0
0.1978,4.8805,0.9652,0,05 2+ years,18,3.0
0.2098,4.8805,1.0239,0,03 6-12 months,28,1.0
0.6996,16.6348,11.638,0,05 2+ years,24,2.0
0.3362,4.8805,1.641,1,04 1-2 years,27,1.0
0.489,4.8805,2.3867,1,04 1-2 years,11,9.0
0.9519,7.4219,7.0649,1,05 2+ years,20,8.0
0.2468,4.8805,1.2044,0,04 1-2 years,25,1.0
0.2047,4.8805,0.9991,0,05 2+ years,28,1.0
0.7953,0.048,0.0382,1,05 2+ years,20,1.0
0.4024,4.8805,1.9641,0,05 2+ years,30,1.0
0.8566,7.4219,6.3575,0,05 2+ years,19,3.0
0.152,4.8805,0.742,1,03 6-12 months,29,2.0
0.1899,4.8805,0.9266,0,05 2+ years,23,1.0
0.3025,4.8805,1.4765,0,05 2+ years,7,4.0
0.7785,16.6348,12.9505,1,05 2+ years,21,2.0
0.1561,4.8805,0.7619,0,05 2+ years,19,1.0
0.8458,16.6348,14.0696,0,05 2+ years,19,1.0
0.16,4.8805,0.781,1,04 1-2 years,30,1.0
0.8575,16.6348,14.2645,1,05 2+ years,23,2.0
0.1835,4.8805,0.8956,1,03 6-12 months,22,1.0
0.3581,4.8805,1.7479,0,01 0-3 months,11,1.0
0.856,16.6348,14.2394,1,05 2+ years,25,1.0
0.4301,4.8805,2.0989,1,04 1-2 years,15,4.0
0.1576,4.8805,0.7693,0,05 2+ years,30,1.0
0.8754,16.6348,14.5624,0,05 2+ years,30,1.0
0.5529,4.8805,2.6983,0,05 2+ years,2,27.0
0.402,4.8805,1.9621,0,04 1-2 years,10,9.0
0.2526,4.8805,1.233,0,05 2+ years,25,1.0
0.1219,4.8805,0.5949,0,05 2+ years,29,1.0
0.2658,4.8805,1.2975,0,05 2+ years,30,1.0
0.7301,0.048,0.035,1,05 2+ years,3,5.0
0.5969,4.8805,2.9131,0,05 2+ years,12,1.0
0.3116,4.8805,1.521,0,05 2+ years,20,1.0
0.3027,4.8805,1.4772,1,01 0-3 months,28,1.0
0.8915,7.4219,6.6167,1,04 1-2 years,8,3.0
0.5444,4.8805,2.6567,1,03 6-12 months,16,1.0
0.5713,4.8805,2.7881,1,04 1-2 years,5,3.0
0.3039,4.8805,1.4833,1,03 6-12 months,16,3.0
0.3055,4.8805,1.491,0,05 2+ years,30,1.0
0.2822,4.8805,1.3773,0,01 0-3 months,21,1.0
0.1251,4.8805,0.6106,0,05 2+ years,27,1.0
0.5904,4.8805,2.8815,1,01 0-3 months,20,2.0
0.0913,4.8805,0.4455,0,05 2+ years,30,1.0
0.1803,4.8805,0.8799,1,05 2+ years,30,1.0
0.4196,3.5253,1.4793,0,05 2+ years,28,1.0
0.9264,7.4219,6.8754,1,05 2+ years,23,3.0
0.8868,4.8805,4.3282,0,01 0-3 months,1,21.0
0.1763,4.8805,0.8604,1,05 2+ years,27,1.0
0.1494,4.8805,0.7291,1,04 1-2 years,15,2.0
0.199,4.8805,0.9713,1,05 2+ years,29,1.0
0.7615,3.5253,2.6844,0,01 0-3 months,20,2.0
0.201,4.8805,0.9809,0,03 6-12 months,25,1.0
0.1225,4.8805,0.5978,0,05 2+ years,30,1.0
0.0953,4.8805,0.4651,0,03 6-12 months,30,1.0
0.1952,4.8805,0.9526,0,04 1-2 years,29,1.0
0.1753,4.8805,0.8558,1,04 1-2 years,27,1.0
0.1793,4.8805,0.8749,0,05 2+ years,26,1.0
0.1153,4.8805,0.5627,0,05 2+ years,30,1.0
0.8519,7.4219,6.3228,1,02 3-6 months,5,10.0
0.1345,4.8805,0.6563,0,04 1-2 years,30,1.0
0.2889,4.8805,1.4098,0,04 1-2 years,27,1.0
0.155,4.8805,0.7564,0,05 2+ years,30,1.0
0.9387,7.4219,6.9668,1,05 2+ years,10,6.0
0.2129,4.8805,1.0389,0,05 2+ years,23,1.0
0.1545,4.8805,0.754,1,03 6-12 months,22,1.0
0.8793,4.8805,4.2915,1,05 2+ years,5,17.0
0.934,7.4219,6.9321,1,05 2+ years,28,2.0
0.1213,4.8805,0.5918,0,04 1-2 years,30,1.0
0.1806,4.8805,0.8812,0,05 2+ years,30,1.0
0.9715,3.5253,3.4248,1,99 unknown,0,
0.3278,4.8805,1.6,0,05 2+ years,16,6.0
0.2822,4.8805,1.3773,0,03 6-12 months,19,1.0
0.3808,4.8805,1.8587,1,05 2+ years,24,6.0
0.1506,4.8805,0.7349,0,05 2+ years,29,1.0
0.1491,4.8805,0.7275,0,04 1-2 years,30,1.0
0.1391,4.8805,0.6791,0,04 1-2 years,30,1.0
0.4574,4.8805,2.2323,0,05 2+ years,14,8.0
0.5505,4.8805,2.687,1,03 6-12 months,14,1.0
0.285,4.8805,1.3909,0,05 2+ years,18,3.0
0.2026,4.8805,0.9887,1,05 2+ years,29,1.0
0.2,4.8805,0.9763,0,04 1-2 years,23,2.0
0.3018,4.8805,1.4728,1,04 1-2 years,9,1.0
0.2371,4.8805,1.1573,1,03 6-12 months,25,1.0
0.4021,4.8805,1.9626,0,05 2+ years,30,1.0
0.1784,4.8805,0.8709,0,05 2+ years,29,1.0
0.8468,4.8805,4.1328,1,05 2+ years,8,18.0
0.1321,4.8805,0.6447,0,05 2+ years,30,1.0
0.8503,3.5253,2.9975,1,03 6-12 months,0,
0.8449,16.6348,14.054,0,05 2+ years,7,1.0
0.1502,4.8805,0.7329,0,05 2+ years,25,1.0
0.1379,4.8805,0.6729,0,05 2+ years,29,1.0
0.4031,4.8805,1.9673,0,01 0-3 months,19,2.0
0.1734,4.8805,0.8461,0,05 2+ years,27,1.0
0.5961,4.8805,2.9093,0,04 1-2 years,20,2.0
0.2237,4.8805,1.092,0,02 3-6 months,19,2.0
0.0808,4.8805,0.3943,0,05 2+ years,30,1.0
0.5037,4.8805,2.4583,0,05 2+ years,23,1.0
0.3366,4.8805,1.6427,1,05 2+ years,26,1.0
0.2317,4.8805,1.131,0,01 0-3 months,19,2.0
0.1849,4.8805,0.9026,0,05 2+ years,25,2.0
0.2341,4.8805,1.1426,0,04 1-2 years,30,1.0
0.174,4.8805,0.849,0,05 2+ years,23,1.0
0.1761,4.8805,0.8595,0,03 6-12 months,25,1.0
0.2133,4.8805,1.0411,0,04 1-2 years,25,2.0
0.1843,4.8805,0.8992,0,04 1-2 years,29,1.0
0.2915,4.8805,1.4227,1,04 1-2 years,14,1.0
0.8121,16.6348,13.509,0,05 2+ years,30,1.0
0.3797,4.8805,1.8531,0,03 6-12 months,6,3.0
0.1708,4.8805,0.8338,1,05 2+ years,30,1.0
0.1915,4.8805,0.9348,0,05 2+ years,27,1.0
0.1751,4.8805,0.8548,0,05 2+ years,22,1.0
0.1809,4.8805,0.8827,0,04 1-2 years,28,1.0
0.7583,7.4219,5.628,0,05 2+ years,30,1.0
0.2357,4.8805,1.1506,0,02 3-6 months,30,1.0
0.1617,4.8805,0.7894,0,04 1-2 years,25,1.0
0.4272,4.8805,2.0847,0,05 2+ years,8,10.0
0.1756,4.8805,0.8569,0,05 2+ years,17,3.0
0.7347,7.4219,5.4527,1,05 2+ years,27,1.0
0.5159,4.8805,2.518,0,04 1-2 years,2,10.0
0.4975,4.8805,2.4278,1,04 1-2 years,21,1.0
0.1259,4.8805,0.6146,0,05 2+ years,30,1.0
0.443,4.8805,2.1622,1,01 0-3 months,30,1.0
0.7578,4.8805,3.6987,0,01 0-3 months,7,8.0
0.153,4.8805,0.7465,0,04 1-2 years,29,1.0
0.847,16.6348,14.0894,1,05 2+ years,29,1.0
0.9188,7.4219,6.8193,1,05 2+ years,30,1.0
0.2371,4.8805,1.1571,0,05 2+ years,11,1.0
0.2419,4.8805,1.1805,0,05 2+ years,13,1.0
0.1815,4.8805,0.886,0,05 2+ years,19,1.0
0.5741,4.8805,2.8021,1,01 0-3 months,18,3.0
0.6379,4.8805,3.1135,0,05 2+ years,12,3.0
0.8633,7.4219,6.4071,0,05 2+ years,26,1.0
0.1821,4.8805,0.8886,0,05 2+ years,15,1.0
0.2031,4.8805,0.9914,1,03 6-12 months,29,1.0
0.1584,4.8805,0.7731,0,05 2+ years,22,1.0
0.4064,4.8805,1.9836,1,05 2+ years,11,1.0
0.4298,4.8805,2.0978,1,05 2+ years,7,10.0
0.1544,4.8805,0.7534,0,05 2+ years,30,1.0
0.3118,4.8805,1.5218,0,05 2+ years,22,1.0
0.8772,16.6348,14.5921,1,05 2+ years,18,1.0
0.1779,4.8805,0.8682,0,05 2+ years,29,2.0
0.193,4.8805,0.9419,1,04 1-2 years,15,4.0
0.2582,4.8805,1.2602,0,05 2+ years,26,1.0
0.8259,16.6348,13.7381,1,05 2+ years,27,1.0
0.7658,7.4219,5.6835,1,04 1-2 years,29,1.0
0.2712,4.8805,1.3234,0,05 2+ years,25,2.0
0.184,4.8805,0.8979,0,05 2+ years,30,1.0
0.4421,4.8805,2.1579,0,05 2+ years,28,1.0
0.1416,4.8805,0.6909,0,05 2+ years,20,2.0
0.1793,4.8805,0.8751,0,05 2+ years,27,1.0
0.8622,7.4219,6.3989,0,03 6-12 months,5,4.0
0.277,4.8805,1.3518,1,05 2+ years,24,1.0
0.869,4.8805,4.2412,1,01 0-3 months,7,16.0
0.4744,4.8805,2.3154,1,05 2+ years,10,1.0
0.9294,7.4219,6.8982,1,04 1-2 years,28,1.0
0.9705,16.6348,16.1442,1,05 2+ years,0,
0.1778,4.8805,0.8676,0,05 2+ years,25,2.0
0.2784,4.8805,1.3587,0,02 3-6 months,15,2.0
0.3242,4.8805,1.5821,0,05 2+ years,19,2.0
0.7864,3.5253,2.7721,1,03 6-12 months,14,1.0
0.6558,16.6348,10.9092,1,05 2+ years,28,1.0
0.5529,4.8805,2.6986,1,05 2+ years,16,2.0
0.4704,4.8805,2.2959,1,04 1-2 years,8,1.0
0.169,4.8805,0.8247,0,04 1-2 years,20,1.0
0.1676,4.8805,0.8179,0,05 2+ years,15,1.0
0.8726,16.6348,14.5152,1,05 2+ years,14,6.0
0.3048,4.8805,1.4875,1,03 6-12 months,30,1.0
0.8594,16.6348,14.2963,1,05 2+ years,16,1.0
0.8635,16.6348,14.3634,1,03 6-12 months,1,6.0
0.2231,4.8805,1.0887,0,05 2+ years,26,1.0
0.9486,7.4219,7.0406,1,05 2+ years,20,1.0
0.3932,4.8805,1.919,1,04 1-2 years,16,6.0
0.2171,4.8805,1.0596,0,05 2+ years,28,1.0
0.1367,4.8805,0.6673,1,05 2+ years,26,1.0
0.8765,7.4219,6.5053,1,04 1-2 years,28,1.0
0.8527,7.4219,6.3284,1,04 1-2 years,28,3.0
0.7886,3.5253,2.78,1,05 2+ years,26,1.0
0.2825,4.8805,1.3789,0,02 3-6 months,9,2.0
0.5043,3.5253,1.7776,1,05 2+ years,14,1.0
0.4649,4.8805,2.2689,1,05 2+ years,19,1.0
0.2945,4.8805,1.4372,1,01 0-3 months,26,1.0
0.8066,16.6348,13.4177,1,05 2+ years,15,2.0
0.1357,4.8805,0.6622,0,05 2+ years,22,2.0
0.2101,4.8805,1.0253,1,05 2+ years,25,1.0
0.3132,4.8805,1.5283,0,01 0-3 months,30,1.0
0.4459,4.8805,2.1762,1,05 2+ years,16,1.0
0.9182,16.6348,15.2746,1,05 2+ years,3,7.0
0.3408,4.8805,1.6631,1,04 1-2 years,26,3.0
0.207,4.8805,1.0101,0,04 1-2 years,23,1.0
0.363,4.8805,1.7715,0,05 2+ years,25,2.0
0.3145,4.8805,1.5348,0,04 1-2 years,11,1.0
0.1819,4.8805,0.8879,1,05 2+ years,24,1.0
0.4978,4.8805,2.4297,1,05 2+ years,13,2.0
0.1687,4.8805,0.8234,0,05 2+ years,19,1.0
0.2144,4.8805,1.0464,0,05 2+ years,27,4.0
0.1902,4.8805,0.9284,1,05 2+ years,19,1.0
0.235,4.8805,1.1471,0,04 1-2 years,29,1.0
0.1958,4.8805,0.9558,0,05 2+ years,17,1.0
0.9789,7.4219,7.2654,1,02 3-6 months,0,
0.1754,4.8805,0.8559,1,05 2+ years,20,1.0
0.1778,4.8805,0.8676,1,03 6-12 months,27,1.0
0.3045,4.8805,1.4859,0,05 2+ years,12,6.0
0.4189,4.8805,2.0446,0,05 2+ years,24,1.0
0.5336,4.8805,2.6042,0,05 2+ years,19,1.0
0.3301,4.8805,1.6109,0,05 2+ years,29,1.0
0.9473,16.6348,15.7579,1,01 0-3 months,6,1.0
0.2434,4.8805,1.1879,1,05 2+ years,23,1.0
0.119,4.8805,0.5806,0,05 2+ years,23,2.0
0.7141,16.6348,11.8796,1,05 2+ years,24,1.0
0.2046,4.8805,0.9985,0,05 2+ years,23,1.0
0.5502,4.8805,2.6851,0,05 2+ years,10,2.0
0.2986,4.8805,1.4575,0,05 2+ years,23,1.0
0.7534,16.6348,12.5329,0,05 2+ years,27,1.0
0.2457,4.8805,1.1991,0,05 2+ years,30,1.0
0.1587,4.8805,0.7743,0,05 2+ years,23,1.0
0.1737,4.8805,0.8475,0,04 1-2 years,30,1.0
0.1613,4.8805,0.7873,0,03 6-12 months,20,1.0
0.1403,4.8805,0.685,0,05 2+ years,28,1.0
0.7973,16.6348,13.2633,1,04 1-2 years,29,1.0
0.2635,4.8805,1.2859,1,05 2+ years,23,1.0
0.276,4.8805,1.3469,0,03 6-12 months,13,7.0
0.1108,4.8805,0.5408,0,05 2+ years,30,1.0
0.1424,4.8805,0.6948,0,04 1-2 years,27,1.0
0.5314,4.8805,2.5935,0,05 2+ years,26,1.0
0.1669,4.8805,0.8145,0,03 6-12 months,27,1.0
0.2485,4.8805,1.2128,0,04 1-2 years,13,5.0
0.19,4.8805,0.9271,0,03 6-12 months,29,1.0
0.3164,4.8805,1.5444,1,02 3-6 months,13,3.0
0.6047,4.8805,2.9512,1,05 2+ years,0,
0.204,4.8805,0.9957,0,05 2+ years,18,1.0
0.176,4.8805,0.8588,0,05 2+ years,28,1.0
0.7151,0.048,0.0343,1,01 0-3 months,11,3.0
0.2135,4.8805,1.0421,0,03 6-12 months,28,2.0
0.1514,4.8805,0.7388,0,04 1-2 years,27,1.0
0.8316,7.4219,6.1717,1,05 2+ years,30,1.0
0.2345,4.8805,1.1445,0,05 2+ years,15,3.0
0.8916,16.6348,14.8316,1,05 2+ years,10,9.0
0.1596,4.8805,0.779,0,03 6-12 months,29,1.0
0.2012,4.8805,0.9821,0,03 6-12 months,29,1.0
0.5347,4.8805,2.6094,0,05 2+ years,14,13.0
